year,week,county,place,mean_change
2020,7,Apache County,grocery and pharmacy,1.75
2020,7,Apache County,parks,30.25
2020,7,Apache County,residential,3
2020,7,Apache County,retail and recreation,7
2020,7,Apache County,transit stations,31.75
2020,7,Apache County,workplaces,-13.5
2020,7,Cochise County,grocery and pharmacy,0.75
2020,7,Cochise County,parks,27.75
2020,7,Cochise County,residential,1.25
2020,7,Cochise County,retail and recreation,3.5
2020,7,Cochise County,transit stations,-1
2020,7,Cochise County,workplaces,-10
2020,7,Coconino County,grocery and pharmacy,10.25
2020,7,Coconino County,parks,46.25
2020,7,Coconino County,residential,0
2020,7,Coconino County,retail and recreation,13.75
2020,7,Coconino County,transit stations,11.75
2020,7,Coconino County,workplaces,-5.5
2020,7,Gila County,grocery and pharmacy,23.25
2020,7,Gila County,parks,39.5
2020,7,Gila County,residential,1.6666666666666667
2020,7,Gila County,retail and recreation,12.5
2020,7,Gila County,workplaces,-8
2020,7,Graham County,grocery and pharmacy,13.75
2020,7,Graham County,residential,3
2020,7,Graham County,retail and recreation,4.25
2020,7,Graham County,workplaces,-8
2020,7,Greenlee County,grocery and pharmacy,-3.5
2020,7,Greenlee County,retail and recreation,-23
2020,7,Greenlee County,workplaces,-8
2020,7,La Paz County,grocery and pharmacy,-5.5
2020,7,La Paz County,parks,-1.5
2020,7,La Paz County,retail and recreation,-2.5
2020,7,La Paz County,transit stations,3.5
2020,7,La Paz County,workplaces,-9.75
2020,7,Maricopa County,grocery and pharmacy,0.5
2020,7,Maricopa County,parks,20.75
2020,7,Maricopa County,residential,1
2020,7,Maricopa County,retail and recreation,4.25
2020,7,Maricopa County,transit stations,2
2020,7,Maricopa County,workplaces,-7
2020,7,Mohave County,grocery and pharmacy,7.5
2020,7,Mohave County,parks,41
2020,7,Mohave County,residential,0.75
2020,7,Mohave County,retail and recreation,9.75
2020,7,Mohave County,transit stations,11.25
2020,7,Mohave County,workplaces,-6
2020,7,Navajo County,grocery and pharmacy,9
2020,7,Navajo County,parks,33.25
2020,7,Navajo County,residential,1
2020,7,Navajo County,retail and recreation,6.25
2020,7,Navajo County,transit stations,6
2020,7,Navajo County,workplaces,-9.5
2020,7,Pima County,grocery and pharmacy,7
2020,7,Pima County,parks,23
2020,7,Pima County,residential,0.5
2020,7,Pima County,retail and recreation,3.75
2020,7,Pima County,transit stations,-1.5
2020,7,Pima County,workplaces,-2
