state,id,Bronze,Gold,Silver,total
AK,2,21,22,20,63
AL,1,4,0,2,6
AR,5,1,2,2,5
AZ,4,27,29,36,92
CA,6,306,316,340,962
CO,8,209,211,239,659
CT,9,5,6,5,16
DC,11,1,1,2,4
DE,10,17,14,12,43
FL,12,15,23,24,62
GA,13,16,7,15,38
HI,15,5,2,10,17
IA,19,8,10,10,28
ID,16,7,6,9,22
IL,17,58,49,48,155
IN,18,23,29,24,76
KS,20,10,12,10,32
KY,21,10,6,6,22
LA,22,1,3,2,6
MA,25,31,33,27,91
MD,24,19,16,11,46
ME,23,5,9,6,20
MI,26,43,24,44,111
MN,27,28,20,24,72
MO,29,47,37,46,130
MS,28,1,0,2,3
MT,30,20,19,16,55
NC,37,39,29,31,99
ND,38,2,0,0,2
NE,31,5,3,4,12
NH,33,4,5,8,17
NJ,34,13,7,9,29
NM,35,24,23,23,70
NV,32,20,17,17,54
NY,36,43,45,36,124
OH,39,39,43,44,126
OK,40,0,1,2,3
OR,41,116,118,94,328
PA,42,78,76,64,218
RI,44,2,0,1,3
SC,45,7,10,4,21
SD,46,4,1,0,5
TN,47,17,14,15,46
TX,48,68,100,81,249
UT,49,27,24,27,78
VA,51,52,42,44,138
VT,50,6,7,6,19
WA,53,56,76,69,201
WI,55,76,80,78,234
WY,56,14,24,20,58
