week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
1985-06-09,1,3915937,Cats,Winter Garden Theatre,461880,NA,38.35,NA,12043,1482,1.0158,8,0
1985-06-16,2,3685742,Cats,Winter Garden Theatre,458353,NA,38.1,NA,12029,1482,1.0146,8,0
1985-06-23,3,3690242,Cats,Winter Garden Theatre,463040,NA,38.47,NA,12036,1482,1.0152,8,0
1985-06-30,4,3986642,Cats,Winter Garden Theatre,465011,NA,38.78,NA,11991,1482,1.0114,8,0
1985-07-07,5,2929052,Cats,Winter Garden Theatre,471456,NA,39.06,NA,12069,1482,1.018,8,0
1985-07-14,6,3072770,Cats,Winter Garden Theatre,470452,NA,39.14,NA,12020,1482,1.0138,8,0
1985-07-21,7,3260312,Cats,Winter Garden Theatre,465589,NA,38.75,NA,12015,1482,1.0134,8,0
1985-07-28,8,2989271,Cats,Winter Garden Theatre,466630,NA,38.82,NA,12019,1482,1.0137,8,0
1985-08-04,9,2999130,Cats,Winter Garden Theatre,496136,NA,41.24,NA,12031,1482,1.0148,8,0
1985-08-11,10,3161255,Cats,Winter Garden Theatre,467829,NA,38.91,NA,12024,1482,1.0142,8,0
1985-08-18,11,3200365,Cats,Winter Garden Theatre,467007,NA,38.82,NA,12029,1482,1.0146,8,0
1985-08-25,12,3099133,Cats,Winter Garden Theatre,469538,NA,39.07,NA,12019,1482,1.0137,8,0
1985-09-01,13,3117089,Cats,Winter Garden Theatre,467790,NA,39.05,NA,11978,1482,1.0103,8,0
1985-09-08,14,2474396,Cats,Winter Garden Theatre,467305,NA,38.91,NA,12009,1482,1.0129,8,0
1985-09-15,15,2844860,Cats,Winter Garden Theatre,463117,NA,38.61,NA,11995,1482,1.0117,8,0
1985-09-22,16,2958210,Cats,Winter Garden Theatre,462405,NA,38.5,NA,12010,1482,1.013,8,0
1985-09-29,17,3049484,Cats,Winter Garden Theatre,469036,NA,39.12,NA,11991,1482,1.0114,8,0
1985-10-06,18,3365082,Cats,Winter Garden Theatre,459265,NA,38.36,NA,11974,1482,1.01,8,0
1985-10-13,19,4054665,Cats,Winter Garden Theatre,456407,NA,38.02,NA,12004,1482,1.0125,8,0
1985-10-20,20,3951350,Cats,Winter Garden Theatre,458863,NA,38.24,NA,12001,1482,1.0122,8,0
1985-10-27,21,3870274,Cats,Winter Garden Theatre,461482,NA,38.42,NA,12011,1482,1.0131,8,0
1985-11-03,22,3665109,Cats,Winter Garden Theatre,465093,NA,38.66,NA,12029,1482,1.0146,8,0
1985-11-10,23,3934418,Cats,Winter Garden Theatre,464444,NA,38.66,NA,12015,1482,1.0134,8,0
1985-11-17,24,3852479,Cats,Winter Garden Theatre,458737,NA,38.22,NA,12001,1482,1.0122,8,0
1985-11-24,25,3769079,Cats,Winter Garden Theatre,459877,NA,38.32,NA,12001,1482,1.0122,8,0
1985-12-01,26,4822918,Cats,Winter Garden Theatre,473179,NA,39.18,NA,12078,1482,1.0187,8,0
1985-12-08,27,4280354,Cats,Winter Garden Theatre,460612,NA,38.33,NA,12018,1482,1.0137,8,0
1985-12-15,28,4169643,Cats,Winter Garden Theatre,461768,NA,38.42,NA,12020,1482,1.0138,8,0
1985-12-22,29,3483038,Cats,Winter Garden Theatre,464973,NA,38.71,NA,12012,1482,1.0132,8,0
1985-12-29,30,5287547,Cats,Winter Garden Theatre,478327,NA,39.56,NA,12092,1482,1.0199,8,0
1986-01-05,31,4720108,Cats,Winter Garden Theatre,489454,NA,40.52,NA,12078,1482,1.0187,8,0
