year,series,episode,episode_n,viewers_7day,viewers_28day
2010,1,1,1,2.24,7
2010,1,2,2,3,3
2010,1,3,3,3,2
2010,1,4,4,2.6,4
2010,1,5,5,3.03,1
2010,1,6,6,2.75,1
2011,2,1,7,3.1,2
2011,2,2,8,3.53,2
2011,2,3,9,3.82,1
2011,2,4,10,3.6,1
2011,2,5,11,3.83,1
2011,2,6,12,4.25,1
2011,2,7,13,4.42,1
2011,2,8,14,5.06,1
2012,3,1,15,3.85,1
2012,3,2,16,4.6,1
2012,3,3,17,4.53,1
2012,3,4,18,4.71,1
2012,3,5,19,4.609999999999999,1
2012,3,6,20,4.819999999999999,1
2012,3,7,21,5.1,1
2012,3,8,22,5.35,1
2012,3,9,23,5.7,1
2012,3,10,24,6.74,1
2013,4,1,25,6.6,1
2013,4,2,26,6.6499999999999995,1
2013,4,3,27,7.17,1
2013,4,4,28,6.819999999999999,1
2013,4,5,29,6.95,1
2013,4,6,30,7.319999999999999,1
2013,4,7,31,7.76,1
2013,4,8,32,7.41,1
2013,4,9,33,7.41,1
2013,4,10,34,9.45,1
2014,5,1,35,8.51,1
2014,5,2,36,8.79,1
2014,5,3,37,9.28,1
2014,5,4,38,10.25,1
2014,5,5,39,9.95,1
2014,5,6,40,10.13,1
2014,5,7,41,10.28,1
2014,5,8,42,9.023,2
2014,5,9,43,10.67,1
2014,5,10,44,13.51,1
2015,6,1,45,11.62,11.73
2015,6,2,46,11.59,11.84
2015,6,3,47,12.01,NA
2015,6,4,48,12.36,12.67
2015,6,5,49,12.39,12.63
2015,6,6,50,12,12.26
2015,6,7,51,12.35,12.58
2015,6,8,52,11.09,11.35
2015,6,9,53,12.65,12.78
2015,6,10,54,15.05,15.16
2016,7,1,55,13.58,13.86
2016,7,2,56,13.45,13.739999999999998
2016,7,3,57,13.01,13.38
2016,7,4,58,13.29,13.88
2016,7,5,59,13.12,13.33
2016,7,6,60,13.13,13.41
2016,7,7,61,13.45,13.72
2016,7,8,62,13.26,13.45
2016,7,9,63,13.44,13.65
2016,7,10,64,15.9,16.03
2017,8,1,65,9.46,9.72
2017,8,2,66,9.23,9.53
2017,8,3,67,8.68,9.06
2017,8,4,68,8.55,8.870000000000001
2017,8,5,69,8.61,8.98
2017,8,6,70,8.61,8.91
2017,8,7,71,9.01,9.32
2017,8,8,72,8.950000000000001,9.19
2017,8,9,73,9.03,9.16
2017,8,10,74,10.04,10.13
2018,9,1,75,9.55,9.92
2018,9,2,76,9.31,9.76
2018,9,3,77,8.91,9.35
2018,9,4,78,8.88,9.41
2018,9,5,79,8.67,9.15
2018,9,6,80,8.91,9.3
2018,9,7,81,9.22,9.54
2018,9,8,82,9.69,9.93
2018,9,9,83,9.5,9.7
2018,9,10,84,10.34,10.54
2019,10,1,85,9.62,10.03
2019,10,2,86,9.38,9.8
2019,10,3,87,8.94,9.42
2019,10,4,88,8.96,9.49
2019,10,5,89,9.26,9.64
2019,10,6,90,8.7,9.19
2019,10,7,91,8.98,9.42
2019,10,8,92,9.19,9.48
2019,10,9,93,9.34,9.67
2019,10,10,94,10.05,10.21
