Date,Inverter,Energy,
1/1/2022,1,6353.4,
1/2/2022,1,3407.0,
1/3/2022,1,6258.5,
1/4/2022,1,3535.8,
1/5/2022,1,3118.4,
1/6/2022,1,5365.9,
1/7/2022,1,2902.6,
1/8/2022,1,4715.0,
1/9/2022,1,5820.3,
1/10/2022,1,4922.2,
1/11/2022,1,6111.7,
1/12/2022,1,4085.1,
1/13/2022,1,3424.6,
1/14/2022,1,3081.3,
1/15/2022,1,2065.5,
1/16/2022,1,5101.0,
1/17/2022,1,4686.9,
1/18/2022,1,7494.2,
1/19/2022,1,7949.5,
1/20/2022,1,7806.5,
1/21/2022,1,7977.5,
1/22/2022,1,8863.0,
1/23/2022,1,8867.5,
1/24/2022,1,8710.6,
1/25/2022,1,8642.7,
1/26/2022,1,8937.2,
1/27/2022,1,8763.2,
1/28/2022,1,7845.7,
1/29/2022,1,5734.4,
1/30/2022,1,9041.8,
1/31/2022,1,3651.3,
2/1/2022,1,9923.2,
2/2/2022,1,9939.6,
2/3/2022,1,9007.6,
2/4/2022,1,9916.2,
2/5/2022,1,8461.6,
2/6/2022,1,9920.4,
2/7/2022,1,9911.4,
2/8/2022,1,9631.6,
2/9/2022,1,8708.7,
2/10/2022,1,9900.1,
2/11/2022,1,9809.5,
2/12/2022,1,9992.1,
2/13/2022,1,9965.4,
2/14/2022,1,8649.4,
2/15/2022,1,7768.3,
2/16/2022,1,11370.9,
2/17/2022,1,10557.9,
2/18/2022,1,5496.8,
2/19/2022,1,2159.0,
2/20/2022,1,525.4,
2/21/2022,1,2482.1,
2/22/2022,1,3780.0,
2/23/2022,1,12286.8,
2/24/2022,1,4369.2,
2/25/2022,1,8638.5,
2/26/2022,1,1459.7,
2/27/2022,1,4550.1,
2/28/2022,1,12279.9,
3/1/2022,1,10048.8,
3/2/2022,1,10455.5,
3/3/2022,1,5090.4,
3/4/2022,1,4434.8,
3/5/2022,1,8049.2,
3/6/2022,1,11113.3,
3/7/2022,1,12825.8,
3/8/2022,1,13088.9,
3/9/2022,1,11752.6,
3/10/2022,1,10275.6,
3/11/2022,1,13557.8,
3/12/2022,1,13365.8,
3/13/2022,1,11045.0,
3/14/2022,1,13567.0,
3/15/2022,1,6628.0,
3/16/2022,1,13903.8,
3/17/2022,1,7007.4,
3/18/2022,1,12667.6,
3/19/2022,1,2639.1,
3/20/2022,1,2399.9,
3/21/2022,1,8541.4,
3/22/2022,1,13724.7,
3/23/2022,1,12506.7,
3/24/2022,1,13803.4,
3/25/2022,1,11587.0,
3/26/2022,1,13476.6,
3/27/2022,1,12061.9,
3/28/2022,1,5110.2,
3/29/2022,1,8638.2,
3/30/2022,1,11673.0,
3/31/2022,1,12748.3,
4/1/2022,1,14130.0,
4/2/2022,1,13322.2,
4/3/2022,1,12648.3,
4/4/2022,1,12605.4,
4/5/2022,1,15030.7,
4/6/2022,1,14904.1,
4/7/2022,1,14334.8,
4/8/2022,1,14519.9,
4/9/2022,1,15193.0,
4/10/2022,1,14576.7,
4/11/2022,1,9740.5,
4/12/2022,1,4682.1,
4/13/2022,1,9608.7,
4/14/2022,1,13425.5,
4/15/2022,1,13033.1,
4/16/2022,1,10373.5,
4/17/2022,1,10872.3,
4/18/2022,1,13577.8,
4/19/2022,1,13591.2,
4/20/2022,1,15896.8,
4/21/2022,1,5801.3,
4/22/2022,1,11760.0,
4/23/2022,1,15961.0,
4/24/2022,1,15626.6,
4/25/2022,1,14637.0,
4/26/2022,1,10230.2,
4/27/2022,1,15304.6,
4/28/2022,1,12392.8,
4/29/2022,1,16301.9,
4/30/2022,1,16127.2,
5/1/2022,1,12352.3,
5/2/2022,1,15972.5,
5/3/2022,1,16477.5,
5/4/2022,1,16381.0,
5/5/2022,1,14402.9,
5/6/2022,1,16289.3,
5/7/2022,1,15124.0,
5/8/2022,1,15507.3,
5/9/2022,1,12873.8,
5/10/2022,1,13652.2,
5/11/2022,1,5009.6,
5/12/2022,1,5583.1,
5/13/2022,1,16609.8,
5/14/2022,1,16710.8,
5/15/2022,1,14100.9,
5/16/2022,1,16282.2,
5/17/2022,1,16498.7,
5/18/2022,1,16208.2,
5/19/2022,1,14375.3,
5/20/2022,1,16739.5,
5/21/2022,1,17434.3,
5/22/2022,1,12418.1,
5/23/2022,1,14880.8,
5/24/2022,1,17012.7,
5/25/2022,1,14173.6,
5/26/2022,1,14910.7,
5/27/2022,1,14695.5,
5/28/2022,1,14989.3,
5/29/2022,1,17509.1,
5/30/2022,1,17245.1,
5/31/2022,1,17155.9,
6/1/2022,1,17133.3,
6/2/2022,1,14742.3,
6/3/2022,1,15235.9,
6/4/2022,1,13826.7,
6/5/2022,1,16740.7,
6/6/2022,1,17173.0,
6/7/2022,1,16718.8,
6/8/2022,1,16058.8,
6/9/2022,1,15281.7,
6/10/2022,1,17141.5,
6/11/2022,1,17137.0,
6/12/2022,1,15236.4,
6/13/2022,1,17400.3,
6/14/2022,1,17413.3,
6/15/2022,1,17341.3,
6/16/2022,1,17550.7,
6/17/2022,1,12483.2,
6/18/2022,1,17819.2,
6/19/2022,1,17817.9,
6/20/2022,1,17409.0,
6/21/2022,1,16101.5,
6/22/2022,1,10369.0,
6/23/2022,1,15825.1,
6/24/2022,1,16032.2,
6/25/2022,1,16822.1,
6/26/2022,1,17129.7,
6/27/2022,1,17150.1,
6/28/2022,1,17142.4,
6/29/2022,1,16887.6,
6/30/2022,1,17432.2,
7/1/2022,1,16572.3,
7/2/2022,1,17154.6,
7/3/2022,1,13037.0,
7/4/2022,1,11613.0,
7/5/2022,1,16758.0,
7/6/2022,1,16679.2,
7/7/2022,1,16787.7,
7/8/2022,1,16103.0,
7/9/2022,1,16890.6,
7/10/2022,1,16956.9,
7/11/2022,1,16491.4,
7/12/2022,1,16250.0,
7/13/2022,1,16586.7,
7/14/2022,1,16222.1,
7/15/2022,1,16399.1,
7/16/2022,1,16205.6,
7/17/2022,1,15274.9,
7/18/2022,1,10683.3,
7/19/2022,1,15928.3,
7/20/2022,1,16001.5,
