feature,PC1,PC2,PC3,PC4,PC5,PC6
total_fat,0.39923389628804923,0.01521650190842018,-0.15523377613411762,0.11499618430906229,-0.08144713579953426,0.17655848138218033
saturated_fat,0.34449689940708983,0.22270111586398728,-0.19960695769619527,0.07811572597042078,-0.2866990674238588,0.04595348420644851
cholesterol,0.325993866173103,-0.022178369456081197,-0.16124701375774603,0.03425472952720596,-0.6327854629504407,-0.4199408997158242
sodium,0.3898776366972361,-0.19647431504820245,-0.07025220030381718,0.023598343983605025,0.1697326374305942,0.09650291555877316
carbohydrates,0.1997831913700805,0.4925449478186829,0.08132009551260365,0.2558662858388591,0.045013293539500766,0.3669520184312301
dietary_fiber,0.3188398121559038,-0.1559370658329378,0.36606701849017964,-0.037125062033165845,0.22626844085135261,0.25686987858826865
vitamin_a,0.08814807342352396,0.03862714872161541,0.6775657947288594,-0.5218522941665461,-0.3942520818587081,0.10206142888670877
vitamin_c,-0.029020452773008507,-0.14025946222093288,0.5337751575411337,0.7479274239434781,-0.054016678102389824,-0.308238956245408
calcium,0.11391207203674926,0.4884709377508095,0.0919526899904832,-0.22566059425763277,0.34920220499604904,-0.6330660938080587
iron,0.38136824715402595,-0.17393270722655543,0.012510681948413607,0.006588565331798111,0.09671041401636553,-0.002327058169681738
sugars,-0.05997351033205469,0.594670423216691,0.09045413639429722,0.1496360804104906,-0.06781149870663605,0.19054057357615847
protein,0.3891769122684571,-0.022530226697019637,0.06083137338472097,-0.08375797388136656,0.36670670226206065,-0.19469128305503342
