season,word,n,total,percent
1,dustin,73,411,0.17761557177615572
1,eleven,17,411,0.0413625304136253
1,jonathan,58,411,0.1411192214111922
1,joyce,58,411,0.1411192214111922
1,lucas,53,411,0.12895377128953772
1,mike,86,411,0.20924574209245742
1,nancy,42,411,0.10218978102189781
1,steve,24,411,0.058394160583941604
2,billy,5,301,0.016611295681063124
2,dustin,61,301,0.2026578073089701
2,eleven,13,301,0.04318936877076412
2,jonathan,13,301,0.04318936877076412
2,joyce,46,301,0.15282392026578073
2,lucas,40,301,0.132890365448505
2,max,32,301,0.10631229235880399
2,mike,46,301,0.15282392026578073
2,nancy,16,301,0.053156146179401995
2,steve,29,301,0.09634551495016612
3,billy,61,605,0.10082644628099173
3,dustin,61,605,0.10082644628099173
3,eleven,61,605,0.10082644628099173
3,jonathan,41,605,0.06776859504132231
3,joyce,55,605,0.09090909090909091
3,lucas,32,605,0.05289256198347107
3,max,44,605,0.07272727272727272
3,mike,67,605,0.11074380165289256
3,nancy,47,605,0.07768595041322314
3,robin,64,605,0.10578512396694215
3,steve,72,605,0.11900826446280992
4,billy,3,539,0.0055658627087198514
4,dustin,78,539,0.14471243042671614
4,eleven,86,539,0.15955473098330242
4,jonathan,34,539,0.06307977736549165
4,joyce,44,539,0.08163265306122448
4,lucas,33,539,0.061224489795918366
4,max,44,539,0.08163265306122448
4,mike,51,539,0.09461966604823747
4,nancy,46,539,0.08534322820037106
4,robin,58,539,0.10760667903525047
4,steve,62,539,0.1150278293135436
