show,week_number,total
Jersey Boys,1,10008054
Jersey Boys,2,10174949.89
Jersey Boys,3,10421708.07
Jersey Boys,4,10662415.8
Jersey Boys,5,10635334.54
Jersey Boys,6,10143837
Jersey Boys,7,10191251.5
Jersey Boys,8,10469150
Jersey Boys,9,10470895
Jersey Boys,10,10329383
Jersey Boys,11,10327895
Jersey Boys,12,10178967
Jersey Boys,13,9605976
Jersey Boys,14,10139684
Jersey Boys,15,9999250
Jersey Boys,16,10493541
Jersey Boys,17,10989870.7
Jersey Boys,18,10743134
Jersey Boys,19,11304467
Jersey Boys,20,11773483.49
Jersey Boys,21,11676005.5
Jersey Boys,22,11398879.2
Jersey Boys,23,10341694
Jersey Boys,24,10895428.5
Jersey Boys,25,10082857
Jersey Boys,26,10196130.5
Jersey Boys,27,12343521.5
Jersey Boys,28,13007033
Jersey Boys,29,12643190.5
Jersey Boys,30,12173958.5
Jersey Boys,31,13629584.5
Jersey Boys,32,14279587
Jersey Boys,33,11996438.25
Jersey Boys,34,11548604.97
Jersey Boys,35,9725475.79
Jersey Boys,36,9433175.2
Jersey Boys,37,9206065.5
Jersey Boys,38,10128133.5
Jersey Boys,39,10370572
Jersey Boys,40,9357741.5
Jersey Boys,41,9480956
Jersey Boys,42,10038334.57
Jersey Boys,43,10383506.47
Jersey Boys,44,10532153.4
Jersey Boys,45,10380806.5
Jersey Boys,46,10128292.88
Jersey Boys,47,10267736.27
Jersey Boys,48,10328399.67
Jersey Boys,49,10007174.15
Jersey Boys,50,10131285.78
Jersey Boys,51,10602097.5
Jersey Boys,52,10701226
Wicked,1,25470906
Wicked,2,26449100
Wicked,3,27015109
Wicked,4,27566421
Wicked,5,27872038
Wicked,6,27362090
Wicked,7,26937070
Wicked,8,27863042
Wicked,9,28447116
Wicked,10,28057800
Wicked,11,28053294
Wicked,12,27005809
Wicked,13,24466245.5
Wicked,14,24574332
Wicked,15,22436357
Wicked,16,22343480.5
Wicked,17,22589282.5
Wicked,18,22405877
Wicked,19,23435129
Wicked,20,26436310
Wicked,21,26074435
Wicked,22,25080699.5
Wicked,23,23670189.5
Wicked,24,24639627.5
Wicked,25,23228109.5
Wicked,26,25760721
Wicked,27,31545856
Wicked,28,27614378
Wicked,29,28155400
Wicked,30,30882738
Wicked,31,36619924
Wicked,32,35628004
Wicked,33,25579459
Wicked,34,25148987
Wicked,35,23560400.5
Wicked,36,22581561
Wicked,37,22486330
Wicked,38,25054985.5
Wicked,39,26814180
Wicked,40,23667515.5
Wicked,41,22331164
Wicked,42,25148824
Wicked,43,26359828
Wicked,44,27616939
Wicked,45,28595557
Wicked,46,27372356
Wicked,47,28014492
Wicked,48,26100230
Wicked,49,23977149
Wicked,50,23596002
Wicked,51,24335569
Wicked,52,25574635
